queue_id,corpus_row,legal_name,purpose,predicted_sector,predicted_sector_name,top3,margin,stratum,true_sector,keywords_ground_truth,annotator_note
38,1099,ANKA Angströmquelle Karlsruhe GmbH,"Die Gesellschaft betreibt eine Speicherringanlage als Synchrotronstrahlungsquelle und vermarktet deren Produkte und erbringt Leistungen an und mit der Synchrotronstrahlungsquelle mit einer charakteristischen Wellenlänge im Angströmbereich. Die Geschäfte werden insbesondere für Zwecke der - Fertigung, - Analytik und Diagnostik sowie - Forschung und Entwicklung betrieben. Der Betrieb beinhaltet auch die Betriebsvorbereitung einschließlich Marketing. Die Gesellschaft kann alle Geschäfte tätigen, die dem Gegenstand der Gesellschaft dienen. Die Gründung von Tochtergesellschaften und die Beteiligung der Gesellschaft an anderen Unternehmen sind ausgeschlossen.",C,Manufacturing,C|J|M,0.0044,low_margin,,,
39,4006,EDI Bau GmbH,"Rohbau sowie Handwerksarbeiten im Hochbaubereich, insbesondere Durchführung von Maurerarbeiten, Malerarbeiten, Elektroinstallation, Trockenbauarbeiten und Fliesenlegerarbeiten.",C,Manufacturing,C|F|B,0.0039,low_margin,,,
40,1505,DBD Verwaltung Unternehmergesellschaft (haftungsbeschränkt),Übernahme der Funktion des geschäftsführenden Gesellschafters und Komplementärs sowie des Liquidators der DBD Deutsche Biodiesel GmbH & Co. KG i.L. mit Sitz in Berlin.,C,Manufacturing,C|M|H,0.0031,low_margin,,,
41,7036,Eppinger & Schmid Metallbau GmbH,"Ausführung von Schlossereiarbeiten , von Werkverträgen im Bereich des Metallbaus, Herstellung und Vertrieb von Werkzeugen und Vorrichtungen",C,Manufacturing,C|B|F,0.0030,low_margin,,,
42,3290,Steinzentrale Nord Leeuwis GmbH,"Die Herstellung und der Vertrieb von Baustoffen und ähnliche Geschäfte, insbesondere der Vertrieb von Verblend- und Pflastersteinen.",C,Manufacturing,C|B|G,0.0026,low_margin,,,
43,7090,El Estero Haftungs GmbH,"Erwerb und Verwaltung von Beteiligungen sowie die Beteiligung als persönlich haftende Gesellschafterin an einer Kommanditgesellschaft, die den Betrieb von regenerativen Energieerzeugungsanlagen und den Verkauf von Energie zum Gegenstand hat.",C,Manufacturing,C|D|M,0.0025,low_margin,,,
44,9174,DACH und BODEN iPE GmbH,"Ausübung des Dachdecker-Handwerkes, einschließlich Sanierung und Beschichtung von Dach- und Bodenflächen sowie der Handel mit entsprechendem Zubehör.",C,Manufacturing,C|L|H,0.0024,low_margin,,,
45,9694,"alron sport, Sportgeräte-,Entwicklungs- und Vertriebs-GmbH","Die Entwicklung und Produktion von Sportgeräten (Sportartikeln) mit Zubehör und Sportstätten-Einrichtungen, sowie der Groß - und Einzelhandel mit Sportgeräten (Sportartikeln) mit Zubehör und Sportstätten-Einrichtungen, sowie der Vertrieb von Tierarzneimitteln, Tierpflegemitteln und Tierspezialfutter.",C,Manufacturing,C|R|G,0.0020,low_margin,,,
46,5263,peters Sport- und Tennis-Versand GmbH,"Herstellung, Groß- und Einzelhandel sowie Reparaturen für Tennis- und alle sonstigen Sportartikel.",C,Manufacturing,C|G|R,0.0011,low_margin,,,
47,176,BTG Röntgen Bildgebende Technik GmbH,"Der Vertrieb medizinischer Röntgenfilme, Röntgenfilmentwicklungsmaschinen, Röntgenzubehör und Kontrastmittel sowie die Lösung qualifizierter technischer Probleme hinsichtlich der technischen Qualitätskontrolle in der Filmverarbeitung und Durchführung des technischen Services für Filmentwicklungsmaschinen. Die Gesellschaft vertreibt keine Heilmittel im Sinne des Arzneimittelgesetzes und betätigt sich auch sonst nicht mit Unternehmensgegenständen, die der behördlichen Genehmigung bedürfen.",C,Manufacturing,C|J|O,0.0010,low_margin,,,
